species_id sample1 strainSharedAnyTimepoint
Alistipes_putredinis_61533 XIB-064 TRUE
Alistipes_putredinis_61533 XIB-199 TRUE
Alistipes_putredinis_61533 XIB-259 TRUE
Alistipes_putredinis_61533 XIB-277 TRUE
Alistipes_putredinis_61533 XIC-008 FALSE
Alistipes_putredinis_61533 XIC-015 FALSE
Alistipes_putredinis_61533 XIC-022 FALSE
Alistipes_putredinis_61533 XIC-023 FALSE
Alistipes_putredinis_61533 XIC-024 FALSE
Alistipes_putredinis_61533 XIC-025 FALSE
Alistipes_putredinis_61533 XIC-026 FALSE
Alistipes_putredinis_61533 XIC-027 FALSE
Alistipes_putredinis_61533 XIC-028 FALSE
Alistipes_putredinis_61533 XIC-029 FALSE
Alistipes_putredinis_61533 XIC-030 FALSE
Alistipes_putredinis_61533 XIC-031 FALSE
Alistipes_putredinis_61533 XIC-032 FALSE
Alistipes_putredinis_61533 XIC-033 FALSE
Alistipes_putredinis_61533 XIC-034 FALSE
Alistipes_putredinis_61533 XIC-035 FALSE
Alistipes_putredinis_61533 XIC-036 FALSE
